item,item_label,twitter
http://www.wikidata.org/entity/Q4232,Bernard Lacombe,
http://www.wikidata.org/entity/Q4237,Fleury Di Nallo,
http://www.wikidata.org/entity/Q4240,Serge Chiesa,
http://www.wikidata.org/entity/Q4261,Michel Platini,
http://www.wikidata.org/entity/Q4457,Franz Beckenbauer,beckenbauer
http://www.wikidata.org/entity/Q4462,Joachim Löw,
http://www.wikidata.org/entity/Q4573,Sean Connery,
http://www.wikidata.org/entity/Q4599,Raúl Albiol,R_Albiol
http://www.wikidata.org/entity/Q4691,Andre de Kruijff,
http://www.wikidata.org/entity/Q4732,Yassine Benzia,
http://www.wikidata.org/entity/Q4740,Júnior César Moreira da Cunha,
http://www.wikidata.org/entity/Q4757,Yves Mariot,
http://www.wikidata.org/entity/Q4790,Michele Pellizzer,
http://www.wikidata.org/entity/Q4876,Jan de Kreek,
http://www.wikidata.org/entity/Q5024,Abel Xavier,
http://www.wikidata.org/entity/Q5117,Eugen Polanski,
http://www.wikidata.org/entity/Q6817,Daniel Rosin,
http://www.wikidata.org/entity/Q7085,Niels Bohr,
http://www.wikidata.org/entity/Q9354,Gianfranco Zola,
http://www.wikidata.org/entity/Q9486,Graham Taylor,
http://www.wikidata.org/entity/Q9675,Kelly Smith,kelly_smith10
http://www.wikidata.org/entity/Q10131,Francisco Varallo,
http://www.wikidata.org/entity/Q10520,David Beckham,
http://www.wikidata.org/entity/Q10524,Ryan Giggs,RyanGiggs_cc
http://www.wikidata.org/entity/Q10531,Luther Blissett,
http://www.wikidata.org/entity/Q10543,Tommy Mooney,
http://www.wikidata.org/entity/Q10548,Nigel Gibbs,
http://www.wikidata.org/entity/Q10552,Robert Page,
http://www.wikidata.org/entity/Q10556,Heiðar Helguson,
http://www.wikidata.org/entity/Q10560,Freddie Ljungberg,
http://www.wikidata.org/entity/Q10569,Danny Graham,
http://www.wikidata.org/entity/Q10572,Adrian Mariappa,
http://www.wikidata.org/entity/Q10577,Tom Cleverley,tomclevz23
http://www.wikidata.org/entity/Q10581,Tommy Smith,
http://www.wikidata.org/entity/Q10585,Ben Foster,
http://www.wikidata.org/entity/Q10588,Marlon King,
http://www.wikidata.org/entity/Q10590,Gavin Mahon,
http://www.wikidata.org/entity/Q10592,Marcus Gayle,
http://www.wikidata.org/entity/Q10594,Alec Chamberlain,
http://www.wikidata.org/entity/Q10598,David James,jamosfoundation
http://www.wikidata.org/entity/Q10599,Sean Dyche,
http://www.wikidata.org/entity/Q10600,Ray Lewington,
http://www.wikidata.org/entity/Q10601,Kenny Jackett,
http://www.wikidata.org/entity/Q10602,Ashley Young,youngy18
http://www.wikidata.org/entity/Q10603,Marvin Sordell,
http://www.wikidata.org/entity/Q10606,Lloyd Doyley,
http://www.wikidata.org/entity/Q10611,Aidy Boothroyd,
http://www.wikidata.org/entity/Q18765,Burak Yılmaz,yilmazburak17
http://www.wikidata.org/entity/Q18881,Aly Cissokho,
http://www.wikidata.org/entity/Q18962,Adrien Rabiot,
http://www.wikidata.org/entity/Q18976,Ole Gunnar Solskjær,olegs26_ole
http://www.wikidata.org/entity/Q18982,Tom Ince,RealThomasInce
http://www.wikidata.org/entity/Q19041,Daniel González Güiza,
http://www.wikidata.org/entity/Q19051,Mame Biram Diouf,
http://www.wikidata.org/entity/Q19177,Adam Miller,
http://www.wikidata.org/entity/Q19181,Alan Julian,
http://www.wikidata.org/entity/Q19350,Karl Henry,
http://www.wikidata.org/entity/Q19364,Andrés Guardado,AGuardado18
http://www.wikidata.org/entity/Q19365,Vicente Guaita,
http://www.wikidata.org/entity/Q19367,Juan Bernat,juanbernat
http://www.wikidata.org/entity/Q19367,Juan Bernat,JuanBernat
http://www.wikidata.org/entity/Q19388,Dani Parejo,DaniParejo
http://www.wikidata.org/entity/Q19392,Éver Banega,Ever10Banega
http://www.wikidata.org/entity/Q19422,Sergio Canales Madrazo,SergioCanales
http://www.wikidata.org/entity/Q19497,Oscar,oscar8
http://www.wikidata.org/entity/Q19832,Maurice Cook,
http://www.wikidata.org/entity/Q20110,Francesco Totti,Totti
http://www.wikidata.org/entity/Q20469,Alan Dzagoev,
http://www.wikidata.org/entity/Q22561,Kurt Sommerlatt,
http://www.wikidata.org/entity/Q22717,Fritz Walter,
http://www.wikidata.org/entity/Q23421,Alan Foggon,
http://www.wikidata.org/entity/Q23941,Francisco Frione,
http://www.wikidata.org/entity/Q23950,Jānis Skredelis,
http://www.wikidata.org/entity/Q24012,Gaetano Monachello,gaemona
http://www.wikidata.org/entity/Q24027,Natalia Zinchenko,
http://www.wikidata.org/entity/Q24042,Raúl Banfi,
http://www.wikidata.org/entity/Q24237,Andrew Nabbout,andrewnabbout
http://www.wikidata.org/entity/Q24294,Edward Linskens,
http://www.wikidata.org/entity/Q24310,Luis Rijo,
http://www.wikidata.org/entity/Q24325,Ufuk Budak,
http://www.wikidata.org/entity/Q24347,Óscar Míguez,
http://www.wikidata.org/entity/Q24553,Obi Metzger,
http://www.wikidata.org/entity/Q24947,Gunnar Þór Gunnarsson,
http://www.wikidata.org/entity/Q25081,Pavel Mochalin,
http://www.wikidata.org/entity/Q25463,Mohamed Youssouf,
http://www.wikidata.org/entity/Q25476,Rob Reekers,
http://www.wikidata.org/entity/Q25613,Ruslan Lyubarskyi,
http://www.wikidata.org/entity/Q25643,Mouritala Ogunbiyi,
http://www.wikidata.org/entity/Q25702,Hans Mulder,
http://www.wikidata.org/entity/Q25718,Björn Lindemann,
http://www.wikidata.org/entity/Q25982,Omar Arellano Nuño,
http://www.wikidata.org/entity/Q25992,Lavard Evans,
http://www.wikidata.org/entity/Q26014,Volodymyr Shekhovtsov,
http://www.wikidata.org/entity/Q26051,Alejandro Pozuelo,
http://www.wikidata.org/entity/Q26054,Isabell Herlovsen,
http://www.wikidata.org/entity/Q26069,Klaas-Jan Huntelaar,KJ_Huntelaar
http://www.wikidata.org/entity/Q26181,Heinz-Jürgen Blome,
http://www.wikidata.org/entity/Q26192,Steven Caulker,
http://www.wikidata.org/entity/Q26233,Roman Neustädter,
http://www.wikidata.org/entity/Q26276,Klemen Lavrič,
http://www.wikidata.org/entity/Q26306,Eduard Kainberger,
http://www.wikidata.org/entity/Q26309,Amir Karić,
http://www.wikidata.org/entity/Q26315,Željko Milinovič,
http://www.wikidata.org/entity/Q26343,Gaël Bigirimana,
http://www.wikidata.org/entity/Q26380,Iago Aspas,aspas10
http://www.wikidata.org/entity/Q26460,Boban Babunski,
http://www.wikidata.org/entity/Q26480,Francisco Medina Luna,
http://www.wikidata.org/entity/Q26517,Luis Suárez,LuisSuarez9
http://www.wikidata.org/entity/Q26522,Mbaye Niang,
http://www.wikidata.org/entity/Q26532,Abdullah Avcı,
http://www.wikidata.org/entity/Q26536,Álex Fernández,
http://www.wikidata.org/entity/Q26580,Antonio Conte,
http://www.wikidata.org/entity/Q26981,Kim Ju-song,
http://www.wikidata.org/entity/Q27078,Arnaldo Pereira,
http://www.wikidata.org/entity/Q27476,Florian Thauvin,FlorianThauvin
http://www.wikidata.org/entity/Q27478,Gilles Cioni,
http://www.wikidata.org/entity/Q27481,Gaël Angoula,
http://www.wikidata.org/entity/Q27482,Maka Mary,
http://www.wikidata.org/entity/Q27504,Frédéric Hantz,
http://www.wikidata.org/entity/Q27508,Lucas Daniel Wilchez,
http://www.wikidata.org/entity/Q27516,Féthi Harek,
http://www.wikidata.org/entity/Q27517,Yassin El-Azzouzi,
http://www.wikidata.org/entity/Q27522,Artyom Kondrashkin,
http://www.wikidata.org/entity/Q27523,Mehdi Mostefa,
http://www.wikidata.org/entity/Q27525,Franco Zuculini,
http://www.wikidata.org/entity/Q27526,David Gigliotti,
http://www.wikidata.org/entity/Q27528,Sambou Yatabaré,
http://www.wikidata.org/entity/Q27531,Lluís Sastre,
http://www.wikidata.org/entity/Q27533,Sigamary Diarra,sigamary
http://www.wikidata.org/entity/Q27572,Patrick Ebert,
http://www.wikidata.org/entity/Q27649,Jérôme Rothen,RothenJerome
http://www.wikidata.org/entity/Q27680,Ivan Obradović,
http://www.wikidata.org/entity/Q27687,Manuel Jiménez Jiménez,
http://www.wikidata.org/entity/Q27688,Javier Paredes,
http://www.wikidata.org/entity/Q27691,Alberto Bueno,albertobueno15
