item,item_label,twitter
http://www.wikidata.org/entity/Q39260,Igor Golban,
http://www.wikidata.org/entity/Q39264,Matej Sivrić,
http://www.wikidata.org/entity/Q39287,Oliver Kirch,
http://www.wikidata.org/entity/Q39323,Jasmin Šćuk,
http://www.wikidata.org/entity/Q39444,Ronaldinho,10Ronaldinho
http://www.wikidata.org/entity/Q39684,Bernard Mendy,mendy_bernard
http://www.wikidata.org/entity/Q39710,Eden Ben Basat,
http://www.wikidata.org/entity/Q39716,Larsen Touré,
http://www.wikidata.org/entity/Q39726,Jhon Culma,
http://www.wikidata.org/entity/Q39728,Aléxis Thébaux,
http://www.wikidata.org/entity/Q39730,Bruno Grougi,
http://www.wikidata.org/entity/Q39746,Jonathan Ayité,AyiteJonathan
http://www.wikidata.org/entity/Q39749,Tripy Makonda,MakondaTripy
http://www.wikidata.org/entity/Q39751,Richard Soumah,
http://www.wikidata.org/entity/Q39752,Johan Martial,
http://www.wikidata.org/entity/Q39754,Ismaël Traoré,
http://www.wikidata.org/entity/Q40012,Sally Walton,
http://www.wikidata.org/entity/Q40596,Łukasz Fabiański,LukaszFabianski
http://www.wikidata.org/entity/Q40604,Kieran Gibbs,KieranGibbs
http://www.wikidata.org/entity/Q40652,Tite,
http://www.wikidata.org/entity/Q40771,Alfreð Finnbogason,A_Finnbogason
http://www.wikidata.org/entity/Q41235,Emilio Butragueño,ButraguenoRM
http://www.wikidata.org/entity/Q41244,Andriy Shevchenko,jksheva7
http://www.wikidata.org/entity/Q41533,Frank Lampard,
http://www.wikidata.org/entity/Q41895,Kenny Miller,
http://www.wikidata.org/entity/Q42010,Marouane Chamakh,
http://www.wikidata.org/entity/Q42231,Ahmed Hassan,AhmedHassan
http://www.wikidata.org/entity/Q42601,David Ginola,teamginola
http://www.wikidata.org/entity/Q42731,Fernando Torres,Torres
http://www.wikidata.org/entity/Q43304,Marcello Lippi,
http://www.wikidata.org/entity/Q43309,Joaquín Reyes Chávez,Joakings
http://www.wikidata.org/entity/Q43333,Léopold Gernaey,
http://www.wikidata.org/entity/Q43559,Joël Kiassumbua,
http://www.wikidata.org/entity/Q43569,Hilario Cuenú,
http://www.wikidata.org/entity/Q43572,Carlos Rodas,
http://www.wikidata.org/entity/Q43630,José Moré Bonet,
http://www.wikidata.org/entity/Q27754,Eduard Oriol,
http://www.wikidata.org/entity/Q27755,Toni Doblas,
http://www.wikidata.org/entity/Q27756,Raúl Goni,
http://www.wikidata.org/entity/Q27767,José María Movilla,
http://www.wikidata.org/entity/Q27768,Felipe Saad,
http://www.wikidata.org/entity/Q27770,Sylvain Marchal,
http://www.wikidata.org/entity/Q27772,Eduardo Ribeiro dos Santos,
http://www.wikidata.org/entity/Q27777,Álvaro Rubio,
http://www.wikidata.org/entity/Q27787,Johan Cavalli,
http://www.wikidata.org/entity/Q27789,Yannick Cahuzac,
http://www.wikidata.org/entity/Q27791,François Marque,
http://www.wikidata.org/entity/Q27794,Wahbi Khazri,
http://www.wikidata.org/entity/Q27795,Macedo Novaes,
http://www.wikidata.org/entity/Q27800,Fousséni Diawara,foussenidiawara
http://www.wikidata.org/entity/Q27805,Arnaud Maire,
http://www.wikidata.org/entity/Q27808,Jérémy Choplin,
http://www.wikidata.org/entity/Q27812,Matthieu Sans,
http://www.wikidata.org/entity/Q27819,Julian Palmieri,
http://www.wikidata.org/entity/Q27822,Paul Lasne,
http://www.wikidata.org/entity/Q27824,Olivier Vannucci,
http://www.wikidata.org/entity/Q27833,José María Martín Bejarano-Serrano,
http://www.wikidata.org/entity/Q27836,Frédéric Sammaritano,
http://www.wikidata.org/entity/Q27839,Alex Dupont,
http://www.wikidata.org/entity/Q27843,Christophe Vincent,
http://www.wikidata.org/entity/Q27845,Salim Moizini,
http://www.wikidata.org/entity/Q27847,Vsevolod Konkin,
http://www.wikidata.org/entity/Q27849,Vitali Kolomiytsev,
http://www.wikidata.org/entity/Q27852,Ilan Araújo Dall'Igna,
http://www.wikidata.org/entity/Q27854,David Oberhauser,
http://www.wikidata.org/entity/Q27856,Anthony Lippini,
http://www.wikidata.org/entity/Q27857,Pavel Korchagin,
http://www.wikidata.org/entity/Q27865,Gaëtan Varenne,
http://www.wikidata.org/entity/Q27873,Joseph Barbato,
http://www.wikidata.org/entity/Q27876,Víctor Pérez Alonso,
http://www.wikidata.org/entity/Q27886,Landry Bonnefoi,BonnefoiLandry
http://www.wikidata.org/entity/Q27889,Mikel Balenziaga,
http://www.wikidata.org/entity/Q28239,Gonzalo Castro,
http://www.wikidata.org/entity/Q28704,Kim Ho-kon,
http://www.wikidata.org/entity/Q28705,James Kwesi Appiah,
http://www.wikidata.org/entity/Q28740,Ian Porterfield,
http://www.wikidata.org/entity/Q28801,Yu Hai,
http://www.wikidata.org/entity/Q28966,Tomislav Kiš,
http://www.wikidata.org/entity/Q29062,Iulian Filipescu,
http://www.wikidata.org/entity/Q29097,Renato Dirnei Florêncio,
http://www.wikidata.org/entity/Q29162,Tomáš Rosický,
http://www.wikidata.org/entity/Q29339,Maniche,
http://www.wikidata.org/entity/Q29454,Sylvain Marveaux,
http://www.wikidata.org/entity/Q29456,Michael Johnson,
http://www.wikidata.org/entity/Q29467,Christian Vargas,
http://www.wikidata.org/entity/Q29491,Chris Smalling,chrissmalling
http://www.wikidata.org/entity/Q29491,Chris Smalling,ChrisSmalling
